Date,Percentage
"September 14, 2023",0.0051062091503267975
"September 13, 2023",0.05106209150326798
"September 12, 2023",0.04595588235294117
"September 11, 2023",0.06638071895424837
"September 10, 2023",0.010212418300653595
"September 8, 2023",0.02553104575163399
"September 7, 2023",0.030637254901960783
"September 6, 2023",0.056168300653594766
"September 5, 2023",0.02553104575163399
"September 4, 2023",0.02553104575163399
"September 2, 2023",0.0051062091503267975
"September 1, 2023",0.02553104575163399
"August 31, 2023",0.02553104575163399
"August 30, 2023",0.015318627450980392
"August 29, 2023",0.04084967320261438
"August 28, 2023",0.010212418300653595
"August 27, 2023",0.0051062091503267975
"August 26, 2023",0.0051062091503267975
"August 25, 2023",0.03574346405228758
"August 24, 2023",0.02553104575163399
"August 23, 2023",0.02042483660130719
"August 22, 2023",0.03574346405228758
"August 21, 2023",0.02042483660130719
"August 20, 2023",0.0051062091503267975
"August 19, 2023",0.0051062091503267975
"August 18, 2023",0.010212418300653595
"August 17, 2023",0.02553104575163399
"August 16, 2023",0.02042483660130719
"August 15, 2023",0.03574346405228758
"August 14, 2023",0.04084967320261438
"August 13, 2023",0.0051062091503267975
"August 11, 2023",0.010212418300653595
"August 10, 2023",0.02553104575163399
"August 9, 2023",0.061274509803921566
"August 8, 2023",0.07659313725490197
"August 7, 2023",0.061274509803921566
"August 6, 2023",0.015318627450980392
"August 5, 2023",0.010212418300653595
"August 4, 2023",0.015318627450980392
"August 3, 2023",0.02042483660130719
"August 2, 2023",0.03574346405228758
"August 1, 2023",0.010212418300653595
"July 31, 2023",0.02042483660130719
"July 30, 2023",0.010212418300653595
"July 29, 2023",0.0051062091503267975
"July 28, 2023",0.02042483660130719
"July 27, 2023",0.02042483660130719
"July 26, 2023",0.02553104575163399
"July 25, 2023",0.030637254901960783
"July 24, 2023",0.02553104575163399
"July 22, 2023",0.010212418300653595
"July 21, 2023",0.015318627450980392
"July 20, 2023",0.015318627450980392
"July 19, 2023",0.02553104575163399
"July 18, 2023",0.015318627450980392
"July 17, 2023",0.02042483660130719
"July 15, 2023",0.0051062091503267975
"July 14, 2023",0.015318627450980392
"July 13, 2023",0.04595588235294117
